Date: Week,Product,Product → Target DPCI,Product → Muffin Product Line,Sales Dollars,Sales Units,Stores Scanning,PODs Scanning,Promo Sales Dollars,Promo Sales Units
"Aug 31, 2025 - Sep 6, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,"$1,168.10 ",193,78,78,$55.65 ,10
"Aug 31, 2025 - Sep 6, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,$382.94 ,39,26,26,$8.11 ,1
"Aug 31, 2025 - Sep 6, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,,,0,0,,
"Aug 31, 2025 - Sep 6, 2025",Green Dream,211-34-0232,Smoothie Pouches,$331.58 ,97,38,38,$6.06 ,2
"Aug 31, 2025 - Sep 6, 2025",Green Dream 4 Pack,211-34-0240,Smoothie Pouches,$504.77 ,43,30,30,$10.43 ,1
"Aug 31, 2025 - Sep 6, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,"$4,852.39 ",946,330,330,$257.99 ,57
"Aug 31, 2025 - Sep 6, 2025",Mac & Cheesy Veggie Loops,071-06-0658,BFY Snacks,$571.35 ,97,57,57,$10.88 ,2
"Aug 31, 2025 - Sep 6, 2025",Mini Turkey Kale Meatballs,270-02-2902,Kids Meals,$751.51 ,76,38,38,$0.00 ,0
"Aug 31, 2025 - Sep 6, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,"$1,954.31 ",327,193,193,$42.84 ,8
"Aug 31, 2025 - Sep 6, 2025",Pineapple Guava Punch,211-34-0236,Smoothie Pouches,$422.09 ,125,44,44,$7.84 ,3
"Aug 31, 2025 - Sep 6, 2025",Pizzalicious Veggie Loops,071-06-0659,BFY Snacks,$555.44 ,96,60,60,$26.07 ,5
"Aug 31, 2025 - Sep 6, 2025",Strawberry Banana Shake,211-34-0230,Smoothie Pouches,$491.29 ,145,45,45,$15.86 ,5
"Aug 31, 2025 - Sep 6, 2025",Strawberry Banana Shake 4 Pack ,211-34-0238,Smoothie Pouches,$542.64 ,46,29,29,$11.31 ,1
"Aug 31, 2025 - Sep 6, 2025",Strawberry Bananza YoGo,284-10-1821,YOGO,"$2,042.76 ",584,212,212,$79.71 ,25
"Aug 31, 2025 - Sep 6, 2025",Strawberry Bananza YoGos – 4 Pack,284-10-4983,YOGO,"$7,564.32 ",620,370,370,$342.78 ,31
"Aug 31, 2025 - Sep 6, 2025",Super Chicken Dippers ,270-02-0128,Kids Meals,$331.24 ,34,24,24,$16.84 ,2
"Aug 31, 2025 - Sep 6, 2025",Tropical Avocado Greens,211-34-0237,Smoothie Pouches,$386.23 ,114,38,38,$3.23 ,1
"Aug 31, 2025 - Sep 6, 2025",Tropical Mango Twist YoGo,284-10-0310,YOGO,"$1,724.68 ",489,208,208,$76.01 ,24
"Sep 7, 2025 - Sep 13, 2025",Apple Berry Blast YoGos – 4 Pack,284-10-8661,YOGO,"$13,865.92 ","1,163",620,620,$914.53 ,86
"Sep 7, 2025 - Sep 13, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,"$8,909.93 ","1,533",613,613,"$1,552.91 ",318
"Sep 7, 2025 - Sep 13, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,"$23,431.62 ","4,645","1,380","1,380","$1,571.31 ",351
"Sep 7, 2025 - Sep 13, 2025",Berry Banana Blast,211-34-0231,Smoothie Pouches,"$1,750.29 ",516,157,157,$73.63 ,24
"Sep 7, 2025 - Sep 13, 2025",Berry Banana Blast 4 Pack,211-34-0239,Smoothie Pouches,"$2,527.93 ",215,118,118,$133.29 ,13
"Sep 7, 2025 - Sep 13, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,"$10,847.24 ","1,863",645,645,"$1,867.81 ",382
"Sep 7, 2025 - Sep 13, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,"$2,989.90 ",385,196,196,"$2,989.90 ",385
"Sep 7, 2025 - Sep 13, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,$689.23 ,139,17,17,$497.59 ,108
"Sep 7, 2025 - Sep 13, 2025",Green Dream,211-34-0232,Smoothie Pouches,"$1,917.88 ",568,174,174,$105.63 ,34
"Sep 7, 2025 - Sep 13, 2025",Green Dream 4 Pack,211-34-0240,Smoothie Pouches,"$2,794.50 ",239,122,122,$173.65 ,17
"Sep 7, 2025 - Sep 13, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,"$24,084.11 ","4,775","1,372","1,372","$1,856.90 ",420
"Sep 7, 2025 - Sep 13, 2025",Mac & Cheesy Veggie Loops,071-06-0658,BFY Snacks,"$4,694.92 ",824,451,451,$779.76 ,160
"Sep 7, 2025 - Sep 13, 2025",Mini Turkey Kale Meatballs,270-02-2902,Kids Meals,"$4,261.31 ",548,223,223,"$4,262.37 ",548
"Sep 7, 2025 - Sep 13, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,"$14,341.53 ","2,540","1,067","1,067","$2,881.11 ",598
"Sep 7, 2025 - Sep 13, 2025",Pineapple Guava Punch,211-34-0236,Smoothie Pouches,"$2,534.75 ",747,172,172,$134.64 ,44
"Sep 7, 2025 - Sep 13, 2025",Pizzalicious Veggie Loops,071-06-0659,BFY Snacks,"$4,202.44 ",744,429,429,$845.86 ,175
"Sep 7, 2025 - Sep 13, 2025",Strawberry Banana Shake,211-34-0230,Smoothie Pouches,"$2,725.19 ",803,195,195,$146.83 ,46
"Sep 7, 2025 - Sep 13, 2025",Strawberry Banana Shake 4 Pack ,211-34-0238,Smoothie Pouches,"$2,892.46 ",246,138,138,$145.60 ,14
"Sep 7, 2025 - Sep 13, 2025",Strawberry Bananza YoGo,284-10-1821,YOGO,"$5,022.11 ","1,453",441,441,$307.58 ,99
"Sep 7, 2025 - Sep 13, 2025",Strawberry Bananza YoGos – 4 Pack,284-10-4983,YOGO,"$16,448.69 ","1,382",690,690,"$1,091.75 ",103
"Sep 7, 2025 - Sep 13, 2025",Super Chicken Dippers ,270-02-0128,Kids Meals,"$2,699.88 ",348,193,193,"$2,699.88 ",348
"Sep 7, 2025 - Sep 13, 2025",Tropical Avocado Greens,211-34-0237,Smoothie Pouches,"$2,233.01 ",661,165,165,$114.46 ,37
"Sep 7, 2025 - Sep 13, 2025",Tropical Mango Twist YoGo,284-10-0310,YOGO,"$4,387.20 ","1,270",431,431,$269.59 ,87
"Sep 14, 2025 - Sep 20, 2025",Apple Berry Blast YoGos – 4 Pack,284-10-8661,YOGO,"$17,531.29 ","1,491",787,787,$996.37 ,93
"Sep 14, 2025 - Sep 20, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,"$16,247.92 ","3,068",851,851,"$9,723.68 ","1,984"
"Sep 14, 2025 - Sep 20, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,"$34,591.34 ","6,859","1,610","1,610","$2,105.97 ",467
"Sep 14, 2025 - Sep 20, 2025",Berry Banana Blast,211-34-0231,Smoothie Pouches,"$4,174.53 ","1,232",300,300,$266.53 ,86
"Sep 14, 2025 - Sep 20, 2025",Berry Banana Blast 4 Pack,211-34-0239,Smoothie Pouches,"$4,353.46 ",370,174,174,$226.25 ,22
"Sep 14, 2025 - Sep 20, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,"$20,054.33 ","3,727",886,886,"$10,538.54 ","2,151"
"Sep 14, 2025 - Sep 20, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,"$12,938.86 ","1,677",727,727,"$12,940.13 ","1,677"
"Sep 14, 2025 - Sep 20, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,"$3,815.63 ",712,228,228,"$2,034.36 ",416
"Sep 14, 2025 - Sep 20, 2025",Green Dream,211-34-0232,Smoothie Pouches,"$3,771.04 ","1,110",293,293,$201.40 ,67
"Sep 14, 2025 - Sep 20, 2025",Green Dream 4 Pack,211-34-0240,Smoothie Pouches,"$4,370.83 ",375,155,155,$321.55 ,31
"Sep 14, 2025 - Sep 20, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,"$36,591.89 ","7,264","1,626","1,626","$2,739.04 ",612
"Sep 14, 2025 - Sep 20, 2025",Mac & Cheesy Veggie Loops,071-06-0658,BFY Snacks,"$8,476.78 ","1,618",684,684,"$4,963.70 ","1,022"
"Sep 14, 2025 - Sep 20, 2025",Mini Turkey Kale Meatballs,270-02-2902,Kids Meals,"$18,387.20 ","2,379",898,898,"$18,401.84 ","2,379"
"Sep 14, 2025 - Sep 20, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,"$21,917.19 ","3,999","1,369","1,369","$7,906.79 ","1,614"
"Sep 14, 2025 - Sep 20, 2025",Pineapple Guava Punch,211-34-0236,Smoothie Pouches,"$3,683.53 ","1,091",208,208,$217.80 ,73
"Sep 14, 2025 - Sep 20, 2025",Pizzalicious Veggie Loops,071-06-0659,BFY Snacks,"$7,589.28 ","1,452",656,656,"$4,577.26 ",940
"Sep 14, 2025 - Sep 20, 2025",Strawberry Banana Shake,211-34-0230,Smoothie Pouches,"$5,529.19 ","1,635",334,334,$305.51 ,102
"Sep 14, 2025 - Sep 20, 2025",Strawberry Banana Shake 4 Pack ,211-34-0238,Smoothie Pouches,"$6,167.74 ",516,246,246,$318.02 ,30
"Sep 14, 2025 - Sep 20, 2025",Strawberry Bananza YoGo,284-10-1821,YOGO,"$5,859.15 ","1,707",448,448,$381.28 ,121
"Sep 14, 2025 - Sep 20, 2025",Strawberry Bananza YoGos – 4 Pack,284-10-4983,YOGO,"$20,275.42 ","1,727",860,860,"$1,123.51 ",105
"Sep 14, 2025 - Sep 20, 2025",Super Chicken Dippers ,270-02-0128,Kids Meals,"$11,970.23 ","1,548",750,750,"$11,971.43 ","1,548"
"Sep 14, 2025 - Sep 20, 2025",Tropical Avocado Greens,211-34-0237,Smoothie Pouches,"$3,501.78 ","1,039",223,223,$224.91 ,75
"Sep 14, 2025 - Sep 20, 2025",Tropical Mango Twist YoGo,284-10-0310,YOGO,"$5,248.09 ","1,531",462,462,$388.06 ,125
"Sep 21, 2025 - Sep 27, 2025",Apple Berry,284-10-4013,YOGO,$6.98 ,2,1,1,$0.00 ,0
"Sep 21, 2025 - Sep 27, 2025",Apple Berry Blast YoGos – 4 Pack,284-10-8661,YOGO,"$22,085.09 ","1,917",966,966,"$3,651.43 ",355
"Sep 21, 2025 - Sep 27, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,"$20,361.28 ","3,921","1,240","1,240","$13,558.53 ","2,798"
"Sep 21, 2025 - Sep 27, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,"$44,585.76 ","10,506","1,711","1,711","$29,949.26 ","7,625"
"Sep 21, 2025 - Sep 27, 2025",Berry Banana Blast,211-34-0231,Smoothie Pouches,"$11,560.11 ","3,423",945,945,"$1,251.59 ",422
"Sep 21, 2025 - Sep 27, 2025",Berry Banana Blast 4 Pack,211-34-0239,Smoothie Pouches,"$6,238.98 ",530,245,245,$861.40 ,83
"Sep 21, 2025 - Sep 27, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,"$28,017.95 ","5,340","1,351","1,351","$17,362.48 ","3,577"
"Sep 21, 2025 - Sep 27, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,"$22,983.72 ","3,029","1,060","1,060","$22,941.62 ","3,021"
"Sep 21, 2025 - Sep 27, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,"$17,537.31 ","3,290","1,141","1,141","$9,738.64 ","1,998"
"Sep 21, 2025 - Sep 27, 2025",Green Dream,211-34-0232,Smoothie Pouches,"$9,475.69 ","2,812",874,874,"$1,191.19 ",404
"Sep 21, 2025 - Sep 27, 2025",Green Dream 4 Pack,211-34-0240,Smoothie Pouches,"$4,646.04 ",408,171,171,$646.52 ,64
"Sep 21, 2025 - Sep 27, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,"$48,483.70 ","11,503","1,711","1,711","$33,868.97 ","8,639"
"Sep 21, 2025 - Sep 27, 2025",Mac & Cheesy Veggie Loops,071-06-0658,BFY Snacks,"$10,513.21 ","2,029",816,816,"$6,681.88 ","1,380"
"Sep 21, 2025 - Sep 27, 2025",Mini Turkey Kale Meatballs,270-02-2902,Kids Meals,"$34,911.31 ","4,593","1,343","1,343","$34,880.16 ","4,587"
"Sep 21, 2025 - Sep 27, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,"$25,163.81 ","4,654","1,451","1,451","$10,926.51 ","2,238"
"Sep 21, 2025 - Sep 27, 2025",Pineapple Guava Punch,211-34-0236,Smoothie Pouches,"$4,267.64 ","1,281",221,221,$631.65 ,216
"Sep 21, 2025 - Sep 27, 2025",Pizzalicious Veggie Loops,071-06-0659,BFY Snacks,"$9,629.94 ","1,876",808,808,"$6,357.94 ","1,323"
"Sep 21, 2025 - Sep 27, 2025",Strawberry Banana Shake,211-34-0230,Smoothie Pouches,"$13,774.11 ","4,078",988,988,"$1,369.19 ",462
"Sep 21, 2025 - Sep 27, 2025",Strawberry Banana Shake 4 Pack ,211-34-0238,Smoothie Pouches,"$12,937.48 ","1,078",561,561,"$1,903.90 ",180
"Sep 21, 2025 - Sep 27, 2025",Strawberry Bananza YoGo,284-10-1821,YOGO,"$6,896.62 ","2,372",467,467,$500.82 ,168
"Sep 21, 2025 - Sep 27, 2025",Strawberry Bananza YoGos – 4 Pack,284-10-4983,YOGO,"$25,035.90 ","2,168","1,009","1,009","$4,092.65 ",397
"Sep 21, 2025 - Sep 27, 2025",Super Chicken Dippers ,270-02-0128,Kids Meals,"$21,512.89 ","2,836","1,152","1,152","$21,513.75 ","2,836"
"Sep 21, 2025 - Sep 27, 2025",Tropical Avocado Greens,211-34-0237,Smoothie Pouches,"$4,637.68 ","1,378",335,335,$577.59 ,194
"Sep 21, 2025 - Sep 27, 2025",Tropical Mango Twist YoGo,284-10-0310,YOGO,"$6,537.10 ","2,219",494,494,$537.11 ,180
"Sep 28, 2025 - Oct 4, 2025",Apple Berry Blast YoGos – 4 Pack,284-10-8661,YOGO,"$32,822.11 ","3,048","1,207","1,207","$28,524.47 ","2,680"
"Sep 28, 2025 - Oct 4, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,"$26,039.29 ","4,737","1,435","1,435","$21,965.59 ","4,074"
"Sep 28, 2025 - Oct 4, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,"$49,972.78 ","10,791","1,722","1,722","$42,454.02 ","9,355"
"Sep 28, 2025 - Oct 4, 2025",Berry Banana Blast,211-34-0231,Smoothie Pouches,"$22,283.24 ","7,080","1,350","1,350","$18,132.92 ","5,885"
"Sep 28, 2025 - Oct 4, 2025",Berry Banana Blast 4 Pack,211-34-0239,Smoothie Pouches,"$10,814.80 ",976,386,386,"$9,346.07 ",855
"Sep 28, 2025 - Oct 4, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,"$41,362.57 ","7,511","1,587","1,587","$35,675.97 ","6,588"
"Sep 28, 2025 - Oct 4, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,"$44,872.23 ","4,990","1,272","1,272","$39,991.49 ","4,494"
"Sep 28, 2025 - Oct 4, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,"$36,906.05 ","6,728","1,516","1,516","$32,384.14 ","5,992"
"Sep 28, 2025 - Oct 4, 2025",Green Dream,211-34-0232,Smoothie Pouches,"$18,720.06 ","5,940","1,330","1,330","$15,317.74 ","4,962"
"Sep 28, 2025 - Oct 4, 2025",Green Dream 4 Pack,211-34-0240,Smoothie Pouches,"$5,570.10 ",522,196,196,"$4,728.00 ",449
"Sep 28, 2025 - Oct 4, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,"$57,962.33 ","12,548","1,724","1,724","$49,591.45 ","10,948"
"Sep 28, 2025 - Oct 4, 2025",Mac & Cheesy Veggie Loops,071-06-0658,BFY Snacks,"$12,989.88 ","2,424",924,924,"$11,278.24 ","2,137"
"Sep 28, 2025 - Oct 4, 2025",Mini Turkey Kale Meatballs,270-02-2902,Kids Meals,"$64,079.97 ","7,104","1,510","1,510","$57,346.65 ","6,435"
"Sep 28, 2025 - Oct 4, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,"$28,186.04 ","5,249","1,535","1,535","$23,261.26 ","4,433"
"Sep 28, 2025 - Oct 4, 2025",Pineapple Guava Punch,211-34-0236,Smoothie Pouches,"$4,634.43 ","1,491",229,229,"$3,983.63 ","1,302"
"Sep 28, 2025 - Oct 4, 2025",Pizzalicious Veggie Loops,071-06-0659,BFY Snacks,"$13,609.57 ","2,534",942,942,"$11,700.14 ","2,214"
"Sep 28, 2025 - Oct 4, 2025",Strawberry Banana Shake,211-34-0230,Smoothie Pouches,"$24,865.21 ","7,896","1,372","1,372","$19,941.95 ","6,478"
"Sep 28, 2025 - Oct 4, 2025",Strawberry Banana Shake 4 Pack ,211-34-0238,Smoothie Pouches,"$27,446.02 ","2,403",995,995,"$23,108.48 ","2,060"
"Sep 28, 2025 - Oct 4, 2025",Strawberry Bananza YoGo,284-10-1821,YOGO,"$6,805.19 ","2,502",503,503,"$2,699.33 ",869
"Sep 28, 2025 - Oct 4, 2025",Strawberry Bananza YoGos – 4 Pack,284-10-4983,YOGO,"$39,082.84 ","3,622","1,264","1,264","$33,817.69 ","3,179"
"Sep 28, 2025 - Oct 4, 2025",Super Chicken Dippers ,270-02-0128,Kids Meals,"$50,166.20 ","5,563","1,489","1,489","$45,065.53 ","5,060"
"Sep 28, 2025 - Oct 4, 2025",Tropical Avocado Greens,211-34-0237,Smoothie Pouches,"$6,512.19 ","2,081",442,442,"$5,536.01 ","1,799"
"Sep 28, 2025 - Oct 4, 2025",Tropical Mango Twist YoGo,284-10-0310,YOGO,"$6,928.89 ","2,505",528,528,"$3,372.48 ","1,088"
"Oct 5, 2025 - Oct 11, 2025",Apple Berry,284-10-4013,YOGO,$9.07 ,3,3,3,$5.58 ,2
"Oct 5, 2025 - Oct 11, 2025",Apple Berry Blast YoGos – 4 Pack,284-10-8661,YOGO,"$34,741.26 ","3,591","1,274","1,274","$30,598.29 ","3,238"
"Oct 5, 2025 - Oct 11, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,"$32,519.20 ","6,613","1,560","1,560","$28,145.77 ","5,897"
"Oct 5, 2025 - Oct 11, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,"$51,628.53 ","12,486","1,743","1,743","$44,563.37 ","11,134"
"Oct 5, 2025 - Oct 11, 2025",Berry Banana Blast,211-34-0231,Smoothie Pouches,"$29,545.72 ","10,520","1,476","1,476","$24,762.59 ","9,129"
"Oct 5, 2025 - Oct 11, 2025",Berry Banana Blast 4 Pack,211-34-0239,Smoothie Pouches,"$12,018.49 ","1,206",433,433,"$10,295.81 ","1,057"
"Oct 5, 2025 - Oct 11, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,"$49,706.08 ","10,123","1,664","1,664","$43,608.85 ","9,129"
"Oct 5, 2025 - Oct 11, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,"$43,184.35 ","5,420","1,318","1,318","$31,616.74 ","4,248"
"Oct 5, 2025 - Oct 11, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,"$46,023.34 ","9,407","1,631","1,631","$40,517.42 ","8,504"
"Oct 5, 2025 - Oct 11, 2025",Green Dream,211-34-0232,Smoothie Pouches,"$24,861.93 ","8,853","1,462","1,462","$21,088.78 ","7,757"
"Oct 5, 2025 - Oct 11, 2025",Green Dream 4 Pack,211-34-0240,Smoothie Pouches,"$5,453.34 ",580,202,202,"$4,945.64 ",535
"Oct 5, 2025 - Oct 11, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,"$60,051.33 ","14,553","1,736","1,736","$52,340.79 ","13,078"
"Oct 5, 2025 - Oct 11, 2025",Mac & Cheesy Veggie Loops,071-06-0658,BFY Snacks,"$13,366.42 ","2,786",971,971,"$11,599.71 ","2,489"
